City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
159,Luderitz,NA,-26.6481,15.1594,66.31,23,65,9.57,2021-07-26 01:25:32,broken clouds
160,Meulaboh,ID,4.1363,96.1285,78.58,82,75,2.28,2021-07-26 01:25:32,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,93.51,62,6,8.01,2021-07-26 01:22:43,clear sky
162,Arraial Do Cabo,BR,-22.9661,-42.0278,70.12,76,0,25.14,2021-07-26 01:25:32,clear sky
163,Liverpool,GB,53.4106,-2.9779,62.62,79,75,1.99,2021-07-26 01:24:10,broken clouds
164,Dargaville,NZ,-35.9333,173.8833,62.02,72,9,13.29,2021-07-26 01:25:33,light rain
165,Qaqortoq,GL,60.7167,-46.0333,46.9,70,100,2.1,2021-07-26 01:25:33,overcast clouds
166,Norman Wells,CA,65.282,-126.8329,71.64,56,75,13.8,2021-07-26 01:21:20,smoke
167,Grajewo,PL,53.6473,22.4554,63.91,72,100,6.89,2021-07-26 01:25:33,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,66.42,73,68,6.15,2021-07-26 01:25:34,broken clouds
169,Nouadhibou,MR,20.931,-17.0347,69.78,94,20,17.27,2021-07-26 01:25:34,few clouds
170,Chokurdakh,RU,70.6333,147.9167,52.45,46,43,8.66,2021-07-26 01:25:34,scattered clouds
171,Fukue,JP,32.6881,128.8419,82.76,74,75,9.22,2021-07-26 01:25:34,broken clouds
172,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,75,9.22,2021-07-26 01:25:35,broken clouds
173,Uvira,CD,-3.4067,29.1458,69.58,72,30,3.04,2021-07-26 01:25:35,scattered clouds
174,Beringovskiy,RU,63.05,179.3167,50.34,92,99,5.64,2021-07-26 01:25:35,overcast clouds
175,Mbanza-Ngungu,CD,-5.25,14.8667,65.46,81,40,4.52,2021-07-26 01:25:35,scattered clouds
176,Uren,RU,57.4552,45.7852,54.91,65,97,4.12,2021-07-26 01:25:36,overcast clouds
177,Canarana,BR,-11.6847,-41.7689,62.2,63,0,6.93,2021-07-26 01:25:36,clear sky
178,Thompson,CA,55.7435,-97.8558,62.76,42,75,6.91,2021-07-26 01:20:42,broken clouds
179,Algarrobo,CO,10.1869,-74.5753,76.95,89,100,3.02,2021-07-26 01:25:36,overcast clouds
180,Pizhanka,RU,57.4604,48.542,55.71,56,100,6.53,2021-07-26 01:25:36,overcast clouds
181,Marienburg,PL,54.0359,19.0266,68.88,74,85,7.2,2021-07-26 01:25:37,overcast clouds
182,Masty,BY,53.4122,24.5387,62.51,75,100,7.67,2021-07-26 01:25:37,overcast clouds
183,Shalinskoye,RU,55.7228,93.7594,67.33,70,4,3.24,2021-07-26 01:25:37,clear sky
184,Maraa,BR,-1.8333,-65.3667,75.78,85,99,2.39,2021-07-26 01:25:37,overcast clouds
185,Natal,BR,-5.795,-35.2094,75.42,83,75,10.36,2021-07-26 01:25:38,broken clouds
186,Ambalavao,MG,-21.8333,46.9333,49.6,89,92,6.11,2021-07-26 01:25:38,overcast clouds
187,Mahanoro,MG,-19.9,48.8,62.92,87,100,10.76,2021-07-26 01:25:38,light rain
188,Madimba,TZ,-10.4,40.3333,69.73,65,60,14.56,2021-07-26 01:25:38,broken clouds
189,Ahipara,NZ,-35.1667,173.1667,59.97,82,46,14.76,2021-07-26 01:25:39,scattered clouds
190,Resistencia,AR,-27.4606,-58.9839,73.45,69,0,9.22,2021-07-26 01:25:39,clear sky
191,Victoria,HK,22.2855,114.1577,89.96,83,36,1.01,2021-07-26 01:25:39,scattered clouds
192,Vryburg,ZA,-26.9566,24.7284,35.13,54,15,5.91,2021-07-26 01:25:39,few clouds
193,Hamilton,US,39.1834,-84.5333,81.84,78,75,5.75,2021-07-26 01:25:40,broken clouds
194,Bellefontaine,US,40.3612,-83.7597,80.76,90,1,0.0,2021-07-26 01:24:59,clear sky
195,Vao,NC,-22.6667,167.4833,70.77,67,84,18.45,2021-07-26 01:21:17,broken clouds
196,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,86,59,7.2,2021-07-26 01:25:40,broken clouds
197,Jiuquan,CN,39.7432,98.5174,81.66,28,25,9.24,2021-07-26 01:25:40,scattered clouds
198,Kruisfontein,ZA,-34.0033,24.7314,55.09,33,100,10.4,2021-07-26 01:25:41,overcast clouds
199,Ostrovnoy,RU,68.0531,39.5131,45.36,85,76,17.47,2021-07-26 01:25:41,broken clouds
200,Breda,IT,45.7225,12.3308,76.28,85,0,3.44,2021-07-26 01:25:41,clear sky
201,Port Hawkesbury,CA,45.6169,-61.3485,66.58,79,90,3.0,2021-07-26 01:25:41,overcast clouds
202,Yaan,NG,7.3833,8.5667,70.12,93,100,5.82,2021-07-26 01:25:42,overcast clouds
203,Leshukonskoye,RU,64.8989,45.7622,46.62,80,100,5.19,2021-07-26 01:25:42,overcast clouds
204,Nabire,ID,-3.3667,135.4833,85.75,62,38,3.0,2021-07-26 01:25:42,scattered clouds
205,Kapiri Mposhi,ZM,-13.9652,28.6809,44.37,80,0,4.34,2021-07-26 01:25:43,clear sky
206,Gerede,TR,40.8008,32.1969,52.23,97,25,0.63,2021-07-26 01:25:43,scattered clouds
207,Pandan,PH,14.0453,124.1694,86.13,71,100,11.32,2021-07-26 01:25:43,overcast clouds
208,Sola,VU,-13.8833,167.55,80.31,78,21,10.94,2021-07-26 01:25:43,few clouds
209,Portland,US,45.5234,-122.6762,92.37,38,1,1.99,2021-07-26 01:21:23,clear sky
210,Narsaq,GL,60.9167,-46.05,46.62,62,100,2.15,2021-07-26 01:25:44,overcast clouds
211,Bengkulu,ID,-3.8004,102.2655,77.41,72,0,4.18,2021-07-26 01:20:46,clear sky
212,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,5.99,2021-07-26 01:25:34,broken clouds
213,Saskylakh,RU,71.9167,114.0833,58.87,58,84,15.84,2021-07-26 01:25:44,broken clouds
214,Torres,BR,-29.3353,-49.7269,75.83,71,87,5.17,2021-07-26 01:25:26,overcast clouds
215,Oktyabrskiy,RU,54.4815,53.471,49.53,65,2,1.63,2021-07-26 01:25:44,clear sky
216,Fort-Shevchenko,KZ,44.5086,50.263,81.19,60,0,14.97,2021-07-26 01:25:45,clear sky
217,Derzhavinsk,KZ,51.1,66.3167,61.34,77,6,12.1,2021-07-26 01:25:45,clear sky
218,San Giustino,IT,43.5495,12.1736,80.38,54,67,4.88,2021-07-26 01:25:45,broken clouds
219,Port Alfred,ZA,-33.5906,26.891,59.83,32,71,11.41,2021-07-26 01:25:45,broken clouds
220,Merauke,ID,-8.4667,140.3333,81.61,64,100,8.55,2021-07-26 01:25:12,overcast clouds
221,Saint-Augustin,CA,51.226,-58.6502,60.82,67,100,11.97,2021-07-26 01:25:46,overcast clouds
222,Luena,AO,-11.7833,19.9167,49.68,58,3,5.59,2021-07-26 01:25:46,clear sky
223,Kahului,US,20.8947,-156.47,87.82,78,40,21.85,2021-07-26 01:25:46,scattered clouds
224,Torbay,CA,47.6666,-52.7314,56.57,93,90,11.5,2021-07-26 01:25:46,overcast clouds
225,Khani,GE,41.9563,42.9566,58.57,90,24,3.27,2021-07-26 01:25:47,few clouds
226,Praia,CV,14.9215,-23.5087,74.84,75,98,8.61,2021-07-26 01:25:47,overcast clouds
227,Fortuna,US,40.5982,-124.1573,98.47,92,90,11.5,2021-07-26 01:22:26,overcast clouds
228,Saldanha,ZA,-33.0117,17.9442,63.43,40,100,21.07,2021-07-26 01:25:47,overcast clouds
229,Rocha,UY,-34.4833,-54.3333,58.15,93,100,9.28,2021-07-26 01:25:47,overcast clouds
230,Shetpe,KZ,44.1667,52.1167,77.07,44,0,9.42,2021-07-26 01:25:48,clear sky
231,Kaitangata,NZ,-46.2817,169.8464,51.93,76,100,3.65,2021-07-26 01:25:48,overcast clouds
