City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Virginia Beach,US,84.27,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
302,Hami,CN,87.84,clear sky,42.8,93.45,Laoyutang Resort
306,Udachnyy,RU,81.12,clear sky,66.4167,112.4,Severnoye Siyaniye
308,Sanmenxia,CN,82.0,overcast clouds,34.7747,111.1814,Pengzhou Hotel
313,Shu,KZ,79.56,clear sky,43.5983,73.7614,Shyngyzkhan
317,Springfield,US,80.42,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
318,Atambua,ID,80.04,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
319,Nieuw Nickerie,SR,79.3,overcast clouds,5.95,-56.9833,Ishwardat Inn
321,Conakry,GN,77.32,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
322,Soe,ID,77.32,scattered clouds,-9.8607,124.284,Dena Hotel
324,Porbandar,IN,79.57,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
325,Shimoda,JP,84.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
328,Mangaluru,IN,76.06,moderate rain,12.8667,74.8833,Goldfinch Mangaluru
330,Sao Joao Do Piaui,BR,75.79,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
331,Santa Cruz,BO,76.46,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
333,Hasaki,JP,86.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
335,Veraval,IN,78.94,moderate rain,20.9,70.3667,Lords Inn Somnath
337,Cockburn Town,TC,81.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
338,Urucara,BR,76.93,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
348,Humberto De Campos,BR,75.02,clear sky,-2.5983,-43.4611,Pousada do Cabeça
349,Tecolutla,MX,81.81,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
354,Morgan City,US,85.05,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
357,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
360,Ypsonas,CY,77.99,clear sky,34.6884,32.9574,Club Aphrodite
361,Mogadishu,SO,76.26,clear sky,2.0371,45.3438,Hotel Juba
363,Makarska,HR,84.34,overcast clouds,43.2969,17.0178,Hotel Park Makarska
372,Bud,US,82.38,broken clouds,39.447,-86.1758,Ted McQuinn Trust
373,Gushikawa,JP,83.79,overcast clouds,26.3544,127.8686,Kirari Guest House
374,Rincon,US,81.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
377,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
382,Aden,YE,82.72,few clouds,12.7794,45.0367,Sama Emirate Hotel
386,Paros,GR,77.31,clear sky,37.0833,25.15,Nikolas Hotel Paros
